,image_id,identity,path,date,split
0,0,whale000,beluga.coco/images/train2022/000000000001_0.jpg,2017-08-07 20:38:36,train
1,1,whale001,beluga.coco/images/train2022/000000000002_1.jpg,2019-08-05 16:49:13,train
2,2,whale002,beluga.coco/images/train2022/000000000003_2.jpg,2017-08-07 22:12:19,train
3,3,whale003,beluga.coco/images/train2022/000000000004_3.jpg,2017-08-07 20:40:59,train
4,4,whale004,beluga.coco/images/train2022/000000000005_4.jpg,2018-08-10 21:45:30,test
5,5,whale005,beluga.coco/images/train2022/000000000006_5.jpg,2018-08-30 00:15:02,train
6,6,whale006,beluga.coco/images/train2022/000000000007_6.jpg,2017-08-03 18:03:18,train
7,7,whale007,beluga.coco/images/train2022/000000000008_7.jpg,2018-08-10 22:27:11,train
8,8,whale008,beluga.coco/images/train2022/000000000009_8.jpg,2019-08-26 11:48:32,train
9,9,whale009,beluga.coco/images/train2022/000000000010_9.jpg,2019-08-29 13:50:31,train
10,10,whale010,beluga.coco/images/train2022/000000000011_10.jpg,2018-08-30 00:24:41,train
11,11,whale011,beluga.coco/images/train2022/000000000012_11.jpg,2019-08-26 10:41:47,train
12,12,whale012,beluga.coco/images/train2022/000000000013_12.jpg,2018-08-10 21:16:53,train
13,13,whale013,beluga.coco/images/train2022/000000000014_13.jpg,2019-08-31 20:52:59,test
14,14,whale014,beluga.coco/images/train2022/000000000015_14.jpg,2019-08-31 20:55:28,train
15,15,whale015,beluga.coco/images/train2022/000000000016_15.jpg,2019-08-29 13:22:50,train
16,16,whale016,beluga.coco/images/train2022/000000000017_16.jpg,2017-08-04 20:49:10,train
17,17,whale017,beluga.coco/images/train2022/000000000018_17.jpg,2017-08-05 21:23:43,train
18,18,whale018,beluga.coco/images/train2022/000000000019_18.jpg,2017-08-05 00:00:00,train
19,19,whale010,beluga.coco/images/train2022/000000000020_19.jpg,2019-08-29 13:17:51,test
20,20,whale019,beluga.coco/images/train2022/000000000021_20.jpg,2017-08-03 18:36:52,train
21,21,whale020,beluga.coco/images/train2022/000000000022_21.jpg,2017-08-05 22:45:55,train
22,22,whale021,beluga.coco/images/train2022/000000000023_22.jpg,2018-08-29 22:40:34,train
23,23,whale022,beluga.coco/images/train2022/000000000024_23.jpg,2019-08-28 12:44:31,train
24,24,whale022,beluga.coco/images/train2022/000000000025_24.jpg,2018-08-09 18:54:11,train
25,25,whale023,beluga.coco/images/train2022/000000000026_25.jpg,2017-08-04 21:00:09,test
26,26,whale024,beluga.coco/images/train2022/000000000027_26.jpg,2019-08-29 13:08:21,train
27,27,whale025,beluga.coco/images/train2022/000000000028_27.jpg,2018-08-25 22:05:30,train
28,28,whale026,beluga.coco/images/train2022/000000000029_28.jpg,2018-08-10 22:42:38,train
29,29,whale027,beluga.coco/images/train2022/000000000030_29.jpg,2019-08-26 09:36:05,train
30,30,whale008,beluga.coco/images/train2022/000000000031_30.jpg,2019-08-26 10:08:14,train
31,31,whale028,beluga.coco/images/train2022/000000000032_31.jpg,2018-08-25 22:22:48,test
32,32,whale015,beluga.coco/images/train2022/000000000033_32.jpg,2018-08-10 23:11:57,train
33,33,whale029,beluga.coco/images/train2022/000000000034_33.jpg,2018-08-30 00:52:33,test
34,34,whale030,beluga.coco/images/train2022/000000000035_34.jpg,2019-08-05 18:14:55,train
35,35,whale031,beluga.coco/images/train2022/000000000036_35.jpg,2017-08-19 19:56:43,test
36,36,whale032,beluga.coco/images/train2022/000000000037_36.jpg,2019-08-28 12:42:42,test
37,37,whale033,beluga.coco/images/train2022/000000000038_37.jpg,2019-08-30 15:07:16,test
38,38,whale034,beluga.coco/images/train2022/000000000039_38.jpg,2017-08-07 19:58:12,train
39,39,whale035,beluga.coco/images/train2022/000000000040_39.jpg,2019-08-26 10:31:48,train
40,40,whale036,beluga.coco/images/train2022/000000000041_40.jpg,2019-08-26 09:36:05,train
41,41,whale010,beluga.coco/images/train2022/000000000042_41.jpg,2019-08-29 13:18:45,train
42,42,whale037,beluga.coco/images/train2022/000000000043_42.jpg,2019-08-28 12:25:53,train
43,43,whale038,beluga.coco/images/train2022/000000000044_43.jpg,2017-08-05 22:35:36,test
44,44,whale039,beluga.coco/images/train2022/000000000045_44.jpg,2017-08-07 22:45:32,train
45,45,whale040,beluga.coco/images/train2022/000000000046_45.jpg,2019-08-29 14:51:00,train
46,46,whale041,beluga.coco/images/train2022/000000000047_46.jpg,2018-08-08 18:48:02,train
