,image_id,identity,path,split
0,0050b870a1f4d586,Maskio,wildlife_reidentification-main/Lion_Data_Zero/val/Maskio/Maskio_Left_Body_0050b870a1f4d586.png,train
1,009b7fa63cfb88f5,Arria,wildlife_reidentification-main/Lion_Data_Zero/val/Arria/Arria_Right_ear_009b7fa63cfb88f5.png,train
2,01038e09440889ed,Blackie,wildlife_reidentification-main/Lion_Data_Zero/train/Blackie/Blackie_Whiskers_01038e09440889ed.png,train
3,015e3dd761fdc45e,Naini,wildlife_reidentification-main/Lion_Data_Zero/train/Naini/Naini_Nose_015e3dd761fdc45e.png,test
4,01719ac6abb0c2b0,Moswen,wildlife_reidentification-main/Lion_Data_Zero/train/Moswen/Moswen_Left_Body_01719ac6abb0c2b0.png,train
5,01ce63980ecedf7a,Moswen,wildlife_reidentification-main/Lion_Data_Zero/train/Moswen/Moswen_Left_Face3_01ce63980ecedf7a.png,train
6,01cedd8bb7ca6962,Empurra,wildlife_reidentification-main/Lion_Data_Zero/train/Empurra/Empurra_Whiskers_01cedd8bb7ca6962.png,train
7,021290cf34698380,Simaloi,wildlife_reidentification-main/Lion_Data_Zero/train/Simaloi/Simaloi_Left_Ear_021290cf34698380.png,test
8,025d5f4f26dd283d,Supu,wildlife_reidentification-main/Lion_Data_Zero/train/Supu/Supu_Nose_025d5f4f26dd283d.png,train
9,0307f3e367372614,Sadala,wildlife_reidentification-main/Lion_Data_Zero/val/Sadala/Sadala_Whiskers_0307f3e367372614.png,train
10,0362f1aad42b759d,Manzy,wildlife_reidentification-main/Lion_Data_Zero/val/Manzy/Manzy_Left_Ear_0362f1aad42b759d.png,test
11,03e89dbf350504de,Engiyaa,wildlife_reidentification-main/Lion_Data_Zero/train/Engiyaa/Engiyaa_Right_Face_03e89dbf350504de.png,train
12,042d14d29de0f608,Yieyio,wildlife_reidentification-main/Lion_Data_Zero/train/Yieyio/Yieyio_Left_Ear_042d14d29de0f608.png,train
13,043685c7dffd3761,Maskio,wildlife_reidentification-main/Lion_Data_Zero/val/Maskio/Maskio_Right_Ear_043685c7dffd3761.png,test
14,04e437509d8cc773,Olchore,wildlife_reidentification-main/Lion_Data_Zero/train/Olchore/Olchore_Right_ear_04e437509d8cc773.png,train
15,0523e19f74def4d6,Matajo,wildlife_reidentification-main/Lion_Data_Zero/train/Matajo/Matajo_Portrait_0523e19f74def4d6.png,test
16,057e36dc170957ce,Kibibi,wildlife_reidentification-main/Lion_Data_Zero/train/Kibibi/Kibibi_Nose_057e36dc170957ce.png,train
17,05aa0933570ffe7f,Naape,wildlife_reidentification-main/Lion_Data_Zero/train/Naape/Naape_Portrait_05aa0933570ffe7f.png,train
18,05bfc80fbfd078e1,Enderoni,wildlife_reidentification-main/Lion_Data_Zero/train/Enderoni/Enderoni_Left_Face_05bfc80fbfd078e1.png,train
19,06175c7c2bd58547,Moswen,wildlife_reidentification-main/Lion_Data_Zero/train/Moswen/Moswen_Mane_06175c7c2bd58547.png,train
20,063ace98356558c2,Sadala,wildlife_reidentification-main/Lion_Data_Zero/val/Sadala/Sadala_Left_Body_063ace98356558c2.png,train
21,0820073d45d8e771,Kaka,wildlife_reidentification-main/Lion_Data_Zero/train/Kaka/Kaka_Left_Face_0820073d45d8e771.png,test
22,0826cd3f8cd5fb3f,Namunyak,wildlife_reidentification-main/Lion_Data_Zero/train/Namunyak/Namunyak_Left_Ear_0826cd3f8cd5fb3f.png,train
23,0875cc41130c7c91,Olbarnoti,wildlife_reidentification-main/Lion_Data_Zero/train/Olbarnoti/Olbarnoti_Right_Whiskers_0875cc41130c7c91.png,train
24,08b0319ac4e576eb,Tikki,wildlife_reidentification-main/Lion_Data_Zero/train/Tikki/Tikki_Right_Ear_08b0319ac4e576eb.png,train
25,08bc8c09419e09f9,Romeo,wildlife_reidentification-main/Lion_Data_Zero/train/Romeo/Romeo_Tail_08bc8c09419e09f9.png,test
26,08bebeed85840f6e,Maskio,wildlife_reidentification-main/Lion_Data_Zero/val/Maskio/Maskio_Portrait_08bebeed85840f6e.png,train
27,08f2e3ad77096bc0,Naibor,wildlife_reidentification-main/Lion_Data_Zero/train/Naibor/Naibor_Right_Body_08f2e3ad77096bc0.png,train
28,0992628b6753d17c,Sadala,wildlife_reidentification-main/Lion_Data_Zero/val/Sadala/Sadala_Portrait_0992628b6753d17c.png,train
29,0af9828a6db14398,Etana,wildlife_reidentification-main/Lion_Data_Zero/val/Etana/Etana_Right_Face_0af9828a6db14398.png,test
30,0b6e99c12e857061,Sebastian,wildlife_reidentification-main/Lion_Data_Zero/train/Sebastian/Sebastian_Left_Face_0b6e99c12e857061.png,train
31,0bdd2812eea8e46b,Enadalut,wildlife_reidentification-main/Lion_Data_Zero/train/Enadalut/Enadalut_Right_Face_0bdd2812eea8e46b.png,train
32,0be73b259fb31821,Mama-Kali,wildlife_reidentification-main/Lion_Data_Zero/train/Mama-Kali/Mama-Kali_Portrait_0be73b259fb31821.png,test
33,0bfe73e39168f53d,Lemuanik,wildlife_reidentification-main/Lion_Data_Zero/train/Lemuanik/Lemuanik_Left_Body_0bfe73e39168f53d.png,train
34,0c3007b8c7220a88,Enadalut,wildlife_reidentification-main/Lion_Data_Zero/train/Enadalut/Enadalut_Whiskers_0c3007b8c7220a88.png,train
35,0d306807a9994a19,Mama-Kali,wildlife_reidentification-main/Lion_Data_Zero/train/Mama-Kali/Mama-Kali_Right_Face_0d306807a9994a19.png,test
36,0d54a06b333c2587,Olchore,wildlife_reidentification-main/Lion_Data_Zero/train/Olchore/Olchore_Whiskers_0d54a06b333c2587.png,test
37,0daa3c1115c36958,Nakato,wildlife_reidentification-main/Lion_Data_Zero/train/Nakato/Nakato_Left_Face_0daa3c1115c36958.png,train
38,0e048a2047a4dd97,Safi,wildlife_reidentification-main/Lion_Data_Zero/val/Safi/Safi_Right_Face_0e048a2047a4dd97.png,train
39,0e719dfc88eb501f,Summer,wildlife_reidentification-main/Lion_Data_Zero/val/Summer/Summer_Ears_0e719dfc88eb501f.png,train
40,0ea199892c96fbca,Blackie,wildlife_reidentification-main/Lion_Data_Zero/train/Blackie/Blackie_Nose_0ea199892c96fbca.png,train
41,0f09dfa89b8827f9,Shambe,wildlife_reidentification-main/Lion_Data_Zero/train/Shambe/Shambe_Mane_0f09dfa89b8827f9.png,train
42,1057f42616a9d142,Arria,wildlife_reidentification-main/Lion_Data_Zero/val/Arria/Arria_Body_1057f42616a9d142.png,train
43,1161706c32e5cccf,Saba,wildlife_reidentification-main/Lion_Data_Zero/train/Saba/Saba_Nose_1161706c32e5cccf.png,test
44,117b7674cde97b70,White-Eye,wildlife_reidentification-main/Lion_Data_Zero/train/White-Eye/White-Eye_Left_Ear_117b7674cde97b70.png,train
45,11c16569f3705c6a,Senteu,wildlife_reidentification-main/Lion_Data_Zero/train/Senteu/Senteu_Portrait_11c16569f3705c6a.png,test
46,11cecf40c339b699,Naisiae,wildlife_reidentification-main/Lion_Data_Zero/train/Naisiae/Naisiae_Whiskers_11cecf40c339b699.png,test
47,11e214b3541fbe38,Samir,wildlife_reidentification-main/Lion_Data_Zero/train/Samir/Samir_Left_Face_11e214b3541fbe38.png,train
48,138866aa15567843,Safi,wildlife_reidentification-main/Lion_Data_Zero/val/Safi/Safi_Portrait_138866aa15567843.png,test
49,1392f128dbfe13bd,Naini,wildlife_reidentification-main/Lion_Data_Zero/train/Naini/Naini_Right_Ear_1392f128dbfe13bd.png,train
50,139a133d66e883ce,Naape,wildlife_reidentification-main/Lion_Data_Zero/train/Naape/Naape_Nose_139a133d66e883ce.png,test
51,13a72bab954b5dd2,Mashavu,wildlife_reidentification-main/Lion_Data_Zero/val/Mashavu/Mashavu_Body_13a72bab954b5dd2.png,train
52,13dce2864561e58c,Kinna,wildlife_reidentification-main/Lion_Data_Zero/train/Kinna/Kinna_Portrait_13dce2864561e58c.png,train
53,140ce926dc5ee856,Dada,wildlife_reidentification-main/Lion_Data_Zero/train/Dada/Dada_Left_Face_140ce926dc5ee856.png,train
54,150aeb973ee6010b,Orkiti,wildlife_reidentification-main/Lion_Data_Zero/train/Orkiti/Orkiti_left_face_150aeb973ee6010b.png,train
55,155fc93c966f56a7,Etana,wildlife_reidentification-main/Lion_Data_Zero/val/Etana/Etana_Nose_155fc93c966f56a7.png,train
56,156553f5b779adb5,Selenkay,wildlife_reidentification-main/Lion_Data_Zero/train/Selenkay/Selenkay_Left_Ear_156553f5b779adb5.png,test
57,156974acc21eb92d,Nguro,wildlife_reidentification-main/Lion_Data_Zero/train/Nguro/Nguro_Right_Ear_156974acc21eb92d.png,train
58,16331697c6ee523e,Dada,wildlife_reidentification-main/Lion_Data_Zero/train/Dada/Dada_Portrait_16331697c6ee523e.png,train
59,164b44bfc03d65cb,Olonyori,wildlife_reidentification-main/Lion_Data_Zero/train/Olonyori/Olonyori_Right_Face_164b44bfc03d65cb.png,test
60,16efbe736ea1da93,Kibibi,wildlife_reidentification-main/Lion_Data_Zero/train/Kibibi/Kibibi_Left_Body_16efbe736ea1da93.png,train
61,175d20512fb330d3,Orkiti,wildlife_reidentification-main/Lion_Data_Zero/train/Orkiti/Orkiti_right_face_175d20512fb330d3.png,test
62,18cbba0980c9777c,Lilly,wildlife_reidentification-main/Lion_Data_Zero/train/Lilly/Lilly_Right_Face_18cbba0980c9777c.png,train
63,190a2db1a445ed4c,Orkiti,wildlife_reidentification-main/Lion_Data_Zero/train/Orkiti/Orkiti_left_ear_190a2db1a445ed4c.png,train
64,19c9a4a1e60f7a02,Spring,wildlife_reidentification-main/Lion_Data_Zero/val/Spring/Spring_Right_ear_19c9a4a1e60f7a02.png,test
65,1ad2151978cb25db,Napi,wildlife_reidentification-main/Lion_Data_Zero/train/Napi/Napi_Portrait_1ad2151978cb25db.png,train
