,0
BirdIndividualID,0.978194338179036
SealID,0.7865707434052758
FriesianCattle2015,0.55
ATRW,0.9432558139534883
NDD20,0.6741996233521658
SMALST,1.0
SeaTurtleIDHeads,0.9117840684660962
AAUZebraFish,0.9992509363295881
CZoo,0.9905437352245863
CTai,0.9110396570203644
Giraffes,0.9104477611940298
HyenaID2022,0.7841269841269841
MacaqueFaces,0.9904458598726115
OpenCows2020,1.0
StripeSpotter,0.9817073170731707
AerialCattle2017,1.0
GiraffeZebraID,0.83166999334664
IPanda50,0.8690909090909091
WhaleSharkID,0.6201892744479496
FriesianCattle2017,0.9646464646464646
Cows2021,0.9953863898500577
LeopardID2022,0.7557571528262387
NOAARightWhale,0.4025695931477516
HappyWhale,0.3429670639016609
HumpbackWhaleID,0.7781341887195937
LionData,0.25161290322580643
NyalaData,0.3644859813084112
ZindiTurtleRecall,0.7439974042829332
BelugaID,0.6648394675019577
